page,panel,displayed_metric,source_csv,source_column,filter,calculation,formatting_rule,verification_status
Compare Funds,Growth chart,Growth of $1 selected funds,results/data/fund_returns.csv,"date,fund,growth_of_1","fund in user multi-select","Pivot by date and plot growth_of_1",Line chart values from raw decimal series,Verified
Compare Funds,Drawdown chart,Drawdown selected funds,results/data/fund_returns.csv,"date,fund,drawdown","fund in user multi-select","Pivot by date and plot drawdown",Line chart values from raw decimal series,Verified
Fund Fact Sheet,Fact sheet KPI,Annualised return,results/tables/performance_metrics.csv,annualised_return,"fund = selected fund","Direct lookup from selected fund row",Percentage with two decimal places,Verified
Fund Fact Sheet,Fact sheet KPI,Annualised volatility,results/tables/performance_metrics.csv,annualised_volatility,"fund = selected fund","Direct lookup from selected fund row",Percentage with two decimal places,Verified
Fund Fact Sheet,Fact sheet KPI,Sharpe ratio,results/tables/performance_metrics.csv,sharpe_ratio,"fund = selected fund","Direct lookup from selected fund row",Two decimal places,Verified
Fund Fact Sheet,Fact sheet KPI,Maximum drawdown,results/tables/performance_metrics.csv,maximum_drawdown,"fund = selected fund","Direct lookup from selected fund row",Percentage with two decimal places,Verified
Fund Fact Sheet,Fact sheet KPI,Ending value,results/tables/performance_metrics.csv,ending_value,"fund = selected fund","Direct lookup from selected fund row",Two decimal places,Verified
Fund Fact Sheet,Fact sheet KPI,Turnover,results/tables/performance_metrics.csv,total_turnover,"fund = selected fund","Direct lookup from selected fund row",Two decimal places,Verified
Fund Fact Sheet,Fact sheet KPI,Top-five concentration,results/tables/current_holdings.csv,weight,"fund = selected fund","Sum of top five latest holding weights",Percentage with two decimal places,Verified
Fund Fact Sheet,Exposure table,Asset-family exposure,results/tables/current_holdings.csv,"ticker,weight","fund = selected fund","Classify tickers by -USD suffix then sum latest weights by family",Percentage with two decimal places,Verified
Holdings & Allocation,Holdings KPI,Top-five concentration,results/tables/current_holdings.csv,weight,"fund = selected fund","Sum of top five latest holding weights",Percentage with two decimal places,Verified
Holdings & Allocation,Allocation builder KPI,Annualised return,results/data/fund_returns.csv,net_return,"fund in user allocation set","Use src.app_logic allocation_series and allocation_metrics on verified fund net returns",Percentage with two decimal places,Verified
Holdings & Allocation,Allocation builder KPI,Annualised volatility,results/data/fund_returns.csv,net_return,"fund in user allocation set","Use src.app_logic allocation_series and allocation_metrics on verified fund net returns",Percentage with two decimal places,Verified
Holdings & Allocation,Allocation builder KPI,Sharpe ratio,results/data/fund_returns.csv,net_return,"fund in user allocation set","Use src.app_logic allocation_series and allocation_metrics on verified fund net returns",Two decimal places,Verified
Holdings & Allocation,Allocation builder KPI,Maximum drawdown,results/data/fund_returns.csv,net_return,"fund in user allocation set","Use src.app_logic allocation_series and allocation_metrics on verified fund net returns",Percentage with two decimal places,Verified
News Sentiment,Sentiment KPI,Usable unique headlines,results/tables/sentiment_product_app_checks.csv,observed,"check = 'Scored headline coverage'","Direct lookup from sentiment product checks table",Whole count with thousands separator,Verified
News Sentiment,Sentiment KPI,Baseline neutral share,results/tables/sentiment_validation.csv,value,"diagnostic = 'baseline_neutral_share'","Direct lookup from sentiment validation table",Percentage with two decimal places,Verified
News Sentiment,Sentiment KPI,Augmented neutral share,results/tables/sentiment_validation.csv,value,"diagnostic = 'finance_augmented_neutral_share'","Direct lookup from sentiment validation table",Percentage with two decimal places,Verified
News Sentiment,Sentiment KPI,Sign-changed share,results/tables/sentiment_validation.csv,value,"diagnostic = 'sign_changed_share'","Direct lookup from sentiment validation table",Percentage with two decimal places,Verified
News Sentiment,Fusion result,Annualised return change,results/tables/fusion_comparison.csv,annualised_return,"fund in ['Equity Minimum Variance','Equity Reliability-Gated Sentiment']","Sentiment fund annualised_return minus base fund annualised_return",Percentage with sign and two decimals,Verified
News Sentiment,Fusion result,Sharpe ratio change,results/tables/fusion_comparison.csv,sharpe_ratio,"fund in ['Equity Minimum Variance','Equity Reliability-Gated Sentiment']","Sentiment fund sharpe_ratio minus base fund sharpe_ratio",Two decimal places,Verified
News Sentiment,Fusion result,Maximum drawdown change,results/tables/fusion_comparison.csv,maximum_drawdown,"fund in ['Equity Minimum Variance','Equity Reliability-Gated Sentiment']","Sentiment fund maximum_drawdown minus base fund maximum_drawdown",Percentage with sign and two decimals,Verified
News Sentiment,Fusion result,Daily return correlation,results/data/fund_returns.csv,net_return,"fund in ['Equity Minimum Variance','Equity Reliability-Gated Sentiment']","Pivot net returns by date then compute Pearson correlation",Two decimal places,Verified
Movie-to-Market Lab,Event KPI,Primary exposure,results/tables/movie_lab_event_summary.csv,primary_ticker,"film = selected film and event_stage = selected event","Direct lookup from selected event row",Ticker label,Verified
Movie-to-Market Lab,Event KPI,Event-day company return,results/tables/movie_lab_event_summary.csv,event_day_return,"film = selected film and event_stage = selected event","Direct lookup from selected event row",Percentage with sign and two decimals,Verified
Movie-to-Market Lab,Event KPI,Event-day SPY return,results/tables/movie_lab_event_summary.csv,benchmark_event_day_return,"film = selected film and event_stage = selected event","Direct lookup from selected event row",Percentage with sign and two decimals,Verified
Movie-to-Market Lab,Event KPI,Event-day market-adjusted return,results/tables/movie_lab_event_summary.csv,event_day_market_adjusted_return,"film = selected film and event_stage = selected event","Direct lookup from selected event row",Percentage with sign and two decimals,Verified
Movie-to-Market Lab,Event KPI,11-trading-day company return,results/tables/movie_lab_event_summary.csv,eleven_trading_day_return,"film = selected film and event_stage = selected event","Direct lookup from selected event row",Percentage with sign and two decimals,Verified
Movie-to-Market Lab,Event KPI,11-trading-day market-adjusted return,results/tables/movie_lab_event_summary.csv,eleven_day_market_adjusted_return,"film = selected film and event_stage = selected event","Direct lookup from selected event row",Percentage with sign and two decimals,Verified
Methodology & Limitations,Methodology KPI,Official sample boundary,results/data/sector_sentiment_index.csv,date,all rows,"Minimum and maximum year in verified sector_sentiment_index dates",Year range label,Verified
Methodology & Limitations,Methodology KPI,Supplied equities,results/data/fund_weights.csv,ticker,all rows,"Count unique non-crypto tickers in verified fund_weights",Whole count,Verified
Methodology & Limitations,Methodology KPI,Supplied cryptocurrencies,results/data/fund_weights.csv,ticker,all rows,"Count unique -USD tickers in verified fund_weights",Whole count,Verified
Methodology & Limitations,Methodology KPI,Turnover cost assumption,results/tables/model_specification.csv,value,"parameter = 'Transaction costs'","Direct lookup from model specification table",Basis-point text label,Verified
